datetime,open,high,low,close,volume
09-10-24 7:15,2616.85,2617.81,2616.31,2617.13,736
09-10-24 7:30,2617.08,2617.65,2616.65,2616.88,446
09-10-24 7:45,2616.87,2616.95,2615.4,2615.97,435
09-10-24 8:00,2615.96,2620.85,2615.67,2620.64,2701
09-10-24 8:15,2620.64,2621.93,2619.45,2621.71,2284
09-10-24 8:30,2621.72,2624.27,2620.92,2620.99,3543
09-10-24 8:45,2620.99,2622.04,2619.32,2619.67,1999
09-10-24 9:00,2619.68,2619.68,2616.17,2616.63,2224
09-10-24 9:15,2616.63,2617.38,2613.53,2615.88,3486
09-10-24 9:30,2615.89,2616.98,2611.99,2612.28,2317
09-10-24 9:45,2612.27,2613.08,2610.61,2612.73,2559
09-10-24 10:00,2612.7,2612.7,2609.13,2611.82,2387
09-10-24 10:15,2611.81,2615.58,2611.81,2614.96,2890
09-10-24 10:30,2614.94,2615.07,2612.08,2612.27,1679
09-10-24 10:45,2612.27,2614.3,2610.79,2611.64,2889
09-10-24 11:00,2611.64,2614.85,2610.47,2613.61,2308
09-10-24 11:15,2613.62,2615.23,2612.27,2615.16,2164
09-10-24 11:30,2615.12,2617.41,2615.12,2615.68,2120
09-10-24 11:45,2615.65,2617.05,2614.05,2616.25,2500
09-10-24 12:00,2616.26,2617.38,2615.48,2616.98,1290
09-10-24 12:15,2616.97,2618.59,2616.07,2616.94,1775
09-10-24 12:30,2616.95,2618.4,2615.23,2615.32,2080
09-10-24 12:45,2615.21,2618.11,2614.65,2618.04,2088
09-10-24 13:00,2618.04,2618.32,2616.51,2617.16,1472
09-10-24 13:15,2617.18,2617.59,2616.03,2616.44,999
09-10-24 13:30,2616.48,2620.05,2616.15,2619.38,1629
09-10-24 13:45,2619.39,2621.41,2618.52,2621.1,1867
09-10-24 14:00,2621.1,2622.16,2619.19,2620.93,1785
09-10-24 14:15,2620.95,2622.39,2620.31,2621.16,1578
09-10-24 14:30,2621.13,2621.13,2618.14,2618.14,1675
09-10-24 14:45,2618.14,2619.5,2616.93,2619.02,1656
09-10-24 15:00,2619.02,2622.24,2619.02,2621.47,2405
09-10-24 15:15,2621.47,2622.4,2617.64,2617.87,2769
09-10-24 15:30,2617.86,2619.15,2615.43,2617.47,2704
09-10-24 15:45,2617.46,2618.96,2616.29,2618.88,2323
09-10-24 16:00,2618.89,2620.64,2615.03,2615.71,4015
09-10-24 16:15,2615.69,2616.21,2609.98,2610.17,4648
09-10-24 16:30,2610.17,2613.16,2606.92,2609.51,4870
09-10-24 16:45,2609.52,2612.35,2608.32,2609.63,3631
09-10-24 17:00,2609.59,2611.53,2608.11,2608.25,3259
09-10-24 17:15,2608.24,2610.69,2607.19,2607.85,3730
09-10-24 17:30,2607.85,2608.97,2605.24,2607.41,3977
09-10-24 17:45,2607.41,2611.86,2606.3,2609.84,3705
09-10-24 18:00,2609.82,2616.35,2609.48,2615.82,3689
09-10-24 18:15,2615.85,2617.85,2611.95,2612.54,3102
09-10-24 18:30,2612.57,2615.84,2612.31,2614.39,1782
09-10-24 18:45,2614.39,2615.16,2612.78,2614.79,1625
09-10-24 19:00,2614.8,2615.77,2613.6,2615.38,1954
09-10-24 19:15,2615.37,2615.43,2610.73,2611.11,2917
09-10-24 19:30,2611.09,2611.09,2607.77,2609.37,2536
09-10-24 19:45,2609.37,2609.88,2607.77,2608.68,2066
09-10-24 20:00,2608.67,2608.76,2606.53,2607.58,1796
09-10-24 20:15,2607.58,2608.57,2606.65,2607.42,1759
09-10-24 20:30,2607.44,2608.79,2606.53,2608.73,1544
09-10-24 20:45,2608.77,2609.9,2606.82,2609.62,1533
09-10-24 21:00,2609.53,2611.02,2608.93,2609.72,1423
09-10-24 21:15,2609.72,2610,2605.11,2607.88,2072
09-10-24 21:30,2607.89,2608.91,2606.56,2607.03,1373
09-10-24 21:45,2606.95,2608.12,2606.2,2606.37,1955
09-10-24 22:00,2606.39,2609.08,2606.29,2608.93,989
09-10-24 22:15,2608.9,2609.38,2607.75,2607.89,842
09-10-24 22:30,2607.9,2610.18,2607.61,2608.52,1313
09-10-24 22:45,2608.53,2609.64,2607.95,2609.14,887
09-10-24 23:00,2609.15,2609.41,2607.83,2607.89,681
09-10-24 23:15,2607.88,2607.93,2606.86,2607.58,751
09-10-24 23:30,2607.41,2608.19,2607.24,2607.65,613
09-10-24 23:45,2607.67,2607.9,2607.56,2607.81,245
10-10-24 1:00,2607.7,2608.66,2607.36,2608.01,364
10-10-24 1:15,2608.01,2608.48,2607.53,2608.2,419
10-10-24 1:30,2608.2,2608.3,2607.91,2608.12,174
10-10-24 1:45,2608.12,2608.93,2608,2608.86,181
10-10-24 2:00,2608.86,2609.18,2608.26,2609.03,169
10-10-24 2:15,2609.03,2609.4,2608.95,2609.4,311
10-10-24 2:30,2609.38,2609.38,2607.86,2608.67,372
10-10-24 2:45,2608.67,2608.96,2608.14,2608.41,364
10-10-24 3:00,2608.45,2608.74,2606.41,2606.8,1604
10-10-24 3:15,2606.8,2608.94,2605.9,2608.92,1060
10-10-24 3:30,2608.93,2610.08,2608.76,2610.04,1190
10-10-24 3:45,2610.04,2610.13,2609.06,2609.31,1385
10-10-24 4:00,2609.3,2610.55,2608.89,2609.49,2779
10-10-24 4:15,2609.46,2611.01,2608.8,2610.74,2648
10-10-24 4:30,2610.72,2612.48,2606.77,2611.33,3409
10-10-24 4:45,2611.32,2611.46,2608.68,2609.07,2633
10-10-24 5:00,2609.03,2610.61,2608.27,2608.46,1987
10-10-24 5:15,2608.48,2610.91,2607.98,2610.91,1574
10-10-24 5:30,2610.9,2614.15,2610.9,2614.08,3150
10-10-24 5:45,2614.07,2615.57,2613.57,2615.21,2667
10-10-24 6:00,2615.22,2616.86,2614.8,2614.99,2604
10-10-24 6:15,2614.98,2616.45,2614.53,2614.58,2327
10-10-24 6:30,2614.59,2614.85,2611.89,2611.95,1245
10-10-24 6:45,2611.98,2612.61,2611.38,2611.74,1527
10-10-24 7:00,2611.7,2613.22,2611.46,2613,1215
10-10-24 7:15,2613,2613.34,2612.53,2612.74,693
10-10-24 7:30,2612.75,2614.47,2612,2614.28,1327
10-10-24 7:45,2614.29,2614.69,2613.6,2613.85,668
10-10-24 8:00,2613.89,2615.05,2613.52,2613.99,1340
10-10-24 8:15,2614,2614.03,2612.46,2613.28,1456
10-10-24 8:30,2613.28,2615.17,2612.74,2615,2433
10-10-24 8:45,2614.99,2615.51,2612.74,2613.28,2320
10-10-24 9:00,2613.28,2615.41,2612.88,2615.1,2319
10-10-24 9:15,2615.08,2616.37,2614.13,2615.8,2220
10-10-24 9:30,2615.77,2615.87,2611.42,2611.79,1941
10-10-24 9:45,2611.78,2612.68,2610.61,2612.46,2273
10-10-24 10:00,2612.47,2613.29,2610.54,2610.95,2485
10-10-24 10:15,2610.94,2614.36,2610.2,2613.92,2017
10-10-24 10:30,2613.93,2616.96,2613.8,2615.73,2839
10-10-24 10:45,2615.72,2617.04,2615.06,2616.69,2040
10-10-24 11:00,2616.73,2616.75,2613.51,2616.09,1913
10-10-24 11:15,2616.1,2617.29,2615.12,2615.66,1376
10-10-24 11:30,2615.65,2616.44,2614.79,2615.67,1195
10-10-24 11:45,2615.67,2616.06,2614.47,2615.45,1124
10-10-24 12:00,2615.47,2615.64,2614.3,2615.23,1042
10-10-24 12:15,2615.24,2617.58,2614.41,2616.82,1110
10-10-24 12:30,2616.79,2618.39,2616.4,2616.44,1499
10-10-24 12:45,2616.47,2617.21,2615.81,2617.19,1337
10-10-24 13:00,2617.19,2617.53,2615.88,2616.79,1124
10-10-24 13:15,2616.77,2617.41,2615.57,2616.02,1160
10-10-24 13:30,2616.01,2618.22,2616,2618.04,1376
