date_entry,date_exit,direction,entry,sl,tp1,tp2,tp3,qty,risk_usd,sl_bucket,tp1_hit,tp2_hit,exit_reason,exit_price,pnl,r_multiple
2026-03-16 03:30:00+00:00,2026-03-16 04:10:00+00:00,BUY,5030.33,5010.561380076824,5050.098619923176,5059.9829298847635,5069.867239846351,5.0585,100.0,SL 15.0-30.0,False,False,SL,5010.561380076824,-100.0,-1.0
2026-03-16 06:40:00+00:00,2026-03-16 10:35:00+00:00,BUY,5018.57,4997.799037344324,5039.340962655676,5049.726443983514,5060.111925311352,4.8144,100.0,SL 15.0-30.0,False,False,SL,4997.799037344324,-100.0,-1.0
2026-03-16 11:10:00+00:00,2026-03-16 11:20:00+00:00,SELL,4988.33,5002.318995905404,4974.3410040945955,4967.346506141894,4960.352008189191,7.1485,100.0,SL <= 15.0,False,False,SL,5002.318995905404,-100.0,-1.0
2026-03-16 15:25:00+00:00,2026-03-16 17:45:00+00:00,BUY,5022.61,4996.212433946646,5049.007566053353,5062.20634908003,5075.405132106706,3.7882,100.0,SL 15.0-30.0,False,False,SL,4996.212433946646,-100.0,-1.0
2026-03-16 19:25:00+00:00,2026-03-16 20:10:00+00:00,SELL,4979.57,5000.938793655277,4958.201206344723,4947.516809517085,4936.832412689446,4.6797,100.0,SL 15.0-30.0,False,False,SL,5000.938793655277,-100.0,-1.0
2026-03-16 21:25:00+00:00,2026-03-17 08:15:00+00:00,BUY,5006.07,4988.0749700358365,5024.065029964163,5033.062544946244,5042.060059928326,5.5571,100.0,SL 15.0-30.0,True,True,TP3,5042.060059928326,200.0,2.0
2026-03-17 13:05:00+00:00,2026-03-17 15:25:00+00:00,SELL,5001.34,5017.75331722976,4984.92668277024,4976.72002415536,4968.513365540481,6.0926,100.0,SL 15.0-30.0,False,False,SL,5017.75331722976,-100.0,-1.0
2026-03-17 20:20:00+00:00,2026-03-17 20:40:00+00:00,BUY,5006.02,4999.61235157665,5012.427648423351,5015.631472635026,5018.835296846701,15.6063,100.0,SL <= 15.0,False,False,SL,4999.61235157665,-100.0,-1.0
2026-03-17 22:30:00+00:00,2026-03-17 23:05:00+00:00,SELL,4998.88,5004.702175949713,4993.057824050287,4990.14673607543,4987.2356481005745,17.1757,100.0,SL <= 15.0,False,False,SL,5004.702175949713,-100.0,-1.0
2026-03-18 01:40:00+00:00,2026-03-18 01:50:00+00:00,SELL,4995.88,5003.171348524461,4988.588651475539,4984.942977213309,4981.297302951079,13.7149,100.0,SL <= 15.0,False,False,SL,5003.171348524461,-100.0,-1.0
2026-03-18 04:15:00+00:00,2026-03-18 04:45:00+00:00,BUY,5012.56,4996.721536139503,5028.398463860498,5036.317695790747,5044.2369277209955,6.3137,100.0,SL 15.0-30.0,False,False,SL,4996.721536139503,-100.0,-1.0
2026-03-18 06:00:00+00:00,2026-03-18 09:10:00+00:00,SELL,4989.45,5005.188299226098,4973.711700773902,4965.842551160853,4957.973401547803,6.3539,100.0,SL 15.0-30.0,False,False,SL,5005.188299226098,-100.0,-1.0
2026-03-18 19:25:00+00:00,2026-03-18 21:50:00+00:00,BUY,4882.16,4863.030379028197,4901.289620971803,4910.854431457705,4920.419241943606,5.2275,100.0,SL 15.0-30.0,False,False,SL,4863.030379028197,-100.0,-1.0
2026-03-18 21:55:00+00:00,2026-03-19 09:45:00+00:00,SELL,4852.76,4889.817772951295,4815.702227048705,4797.173340573057,4778.64445409741,2.6985,100.0,AVOID: SL > 30.0,True,True,TP3,4778.64445409741,200.0,2.0
2026-03-19 10:40:00+00:00,2026-03-19 14:40:00+00:00,SELL,4739.35,4779.96754220014,4698.732457799861,4678.423686699791,4658.114915599721,2.462,100.0,AVOID: SL > 30.0,True,True,TP3,4658.114915599721,200.0,2.0
2026-03-19 22:00:00+00:00,2026-03-20 06:00:00+00:00,BUY,4634.99,4600.463130448261,4669.516869551739,4686.780304327608,4704.0437391034775,2.8963,100.0,AVOID: SL > 30.0,True,True,TP3,4704.0437391034775,200.0,2.0
2026-03-20 11:15:00+00:00,2026-03-20 11:45:00+00:00,BUY,4724.7,4694.7775520543155,4754.622447945684,4769.583671918526,4784.5448958913685,3.342,100.0,SL 15.0-30.0,False,False,SL,4694.7775520543155,-100.0,-1.0
2026-03-20 13:00:00+00:00,2026-03-20 15:05:00+00:00,SELL,4652.83,4684.205834901396,4621.454165098604,4605.766247647905,4590.078330197208,3.1872,100.0,AVOID: SL > 30.0,False,False,SL,4684.205834901396,-100.0,-1.0
2026-03-20 16:30:00+00:00,2026-03-20 17:10:00+00:00,SELL,4645.52,4673.409065280292,4617.630934719708,4603.686402079562,4589.741869439416,3.5856,100.0,SL 15.0-30.0,True,True,TP3,4589.741869439416,200.0,2.0
2026-03-23 01:20:00+00:00,2026-03-23 02:45:00+00:00,BUY,4527.25,4466.991114971953,4587.508885028047,4617.63832754207,4647.767770056094,1.6595,100.0,AVOID: SL > 30.0,False,False,SL,4466.991114971953,-100.0,-1.0
2026-03-23 05:35:00+00:00,2026-03-23 09:05:00+00:00,SELL,4373.74,4423.830427317188,4323.649572682812,4298.604359024217,4273.559145365623,1.9964,100.0,AVOID: SL > 30.0,True,True,TP3,4273.559145365623,200.0,2.0
2026-03-23 12:15:00+00:00,2026-03-23 14:10:00+00:00,BUY,4288.77,4211.8076086861065,4365.732391313894,4404.213586970842,4442.694782627788,1.2993,100.0,AVOID: SL > 30.0,True,True,TP3,4442.694782627788,200.0,2.0
2026-03-23 15:50:00+00:00,2026-03-23 18:55:00+00:00,BUY,4467.76,4364.49924074675,4571.020759253251,4622.651138879875,4674.281518506501,0.9684,100.0,AVOID: SL > 30.0,False,False,SL,4364.49924074675,-100.0,-1.0
2026-03-23 21:30:00+00:00,2026-03-23 22:10:00+00:00,BUY,4443.51,4404.597514705254,4482.422485294746,4501.878727942119,4521.3349705894925,2.5699,100.0,AVOID: SL > 30.0,False,False,SL,4404.597514705254,-100.0,-1.0
2026-03-23 23:00:00+00:00,2026-03-24 02:05:00+00:00,SELL,4392.4,4431.963718039801,4352.836281960198,4333.054422940297,4313.272563920396,2.5276,100.0,AVOID: SL > 30.0,False,False,SL,4431.963718039801,-100.0,-1.0
2026-03-24 03:15:00+00:00,2026-03-24 03:40:00+00:00,SELL,4411.53,4450.22599873211,4372.834001267889,4353.486001901834,4334.1380025357785,2.5842,100.0,AVOID: SL > 30.0,True,True,TP3,4334.1380025357785,200.0,2.0
2026-03-24 04:10:00+00:00,2026-03-24 09:25:00+00:00,SELL,4331.17,4392.546102214097,4269.793897785903,4239.1058466788545,4208.417795571806,1.6293,100.0,AVOID: SL > 30.0,False,False,SL,4392.546102214097,-100.0,-1.0
2026-03-24 12:55:00+00:00,2026-03-24 14:00:00+00:00,BUY,4426.22,4406.8763795083,4445.563620491701,4455.235430737552,4464.907240983402,5.1697,100.0,SL 15.0-30.0,False,False,SL,4406.8763795083,-100.0,-1.0
2026-03-24 16:25:00+00:00,2026-03-24 17:00:00+00:00,SELL,4357.13,4389.557747431944,4324.702252568056,4308.488378852084,4292.274505136112,3.0838,100.0,AVOID: SL > 30.0,False,False,SL,4389.557747431944,-100.0,-1.0
2026-03-24 20:05:00+00:00,2026-03-24 23:20:00+00:00,SELL,4391.68,4430.779611893001,4352.580388107,4333.0305821605,4313.480776213999,2.5576,100.0,AVOID: SL > 30.0,False,False,SL,4430.779611893001,-100.0,-1.0
2026-03-25 02:15:00+00:00,2026-03-25 03:30:00+00:00,BUY,4497.98,4466.788948999735,4529.171051000264,4544.766576500397,4560.3621020005285,3.206,100.0,AVOID: SL > 30.0,True,True,TP3,4560.3621020005285,200.0,2.0
2026-03-25 09:05:00+00:00,2026-03-25 14:05:00+00:00,SELL,4540.52,4568.743572386428,4512.296427613573,4498.184641420359,4484.072855227145,3.5431,100.0,SL 15.0-30.0,False,False,SL,4568.743572386428,-100.0,-1.0
2026-03-25 15:25:00+00:00,2026-03-26 08:50:00+00:00,SELL,4545.2,4586.029990970111,4504.370009029889,4483.9550135448335,4463.540018059778,2.4492,100.0,AVOID: SL > 30.0,True,True,TP3,4463.540018059778,200.0,2.0
2026-03-26 14:30:00+00:00,2026-03-26 14:45:00+00:00,BUY,4448.09,4436.387555028799,4459.792444971201,4465.643667456801,4471.494889942402,8.5452,100.0,SL <= 15.0,False,False,SL,4436.387555028799,-100.0,-1.0
2026-03-26 14:55:00+00:00,2026-03-26 16:45:00+00:00,SELL,4422.95,4454.706357231533,4391.193642768467,4375.3154641527,4359.437285536934,3.149,100.0,AVOID: SL > 30.0,False,False,SL,4454.706357231533,-100.0,-1.0
2026-03-26 17:30:00+00:00,2026-03-26 19:00:00+00:00,BUY,4474.86,4433.102467720524,4516.617532279475,4537.496298419213,4558.375064558951,2.3948,100.0,AVOID: SL > 30.0,False,False,SL,4433.102467720524,-100.0,-1.0
2026-03-26 22:50:00+00:00,2026-03-26 23:10:00+00:00,SELL,4364.14,4390.777111598162,4337.502888401838,4324.184332602757,4310.865776803676,3.7542,100.0,SL 15.0-30.0,False,False,SL,4390.777111598162,-100.0,-1.0
