Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL at Exit,Exit Reason,PnL ($),Equity ($)
1218,2024-09-26 02:15:00,2024-09-26 02:45:00,Long,2659.29,2656.47,0.71,2656.47,Stop Loss,-199.92,14802.25
1219,2024-09-26 02:45:00,2024-09-26 03:15:00,Short,2656.36,2657.78,0.7,2659.21,Opposite Signal,-99.4,14702.85
1220,2024-09-26 03:15:00,2024-09-26 05:45:00,Long,2657.78,2658.1,0.69,2654.89,Opposite Signal,22.08,14724.93
1221,2024-09-26 05:45:00,2024-09-26 06:15:00,Short,2658.1,2661.53,0.58,2661.53,Stop Loss,-198.97,14525.95
1222,2024-09-26 06:15:00,2024-09-26 09:00:00,Long,2660.91,2658.65,0.58,2657.51,Opposite Signal,-131.08,14394.87
1223,2024-09-26 09:00:00,2024-09-26 09:15:00,Short,2658.65,2661.04,0.59,2662.0,Opposite Signal,-141.01,14253.86
1224,2024-09-26 09:15:00,2024-09-26 11:15:00,Long (Partial 50%),2661.04,2668.15,0.28,2661.04,Partial TP 1:2,199.14,14453.0
1224,2024-09-26 09:15:00,2024-09-26 15:00:00,Long,2661.04,2679.09,0.28,2679.09,Stop Loss,505.36,14958.36
1225,2024-09-26 15:00:00,2024-09-26 16:00:00,Short (Partial 50%),2677.07,2663.82,0.15,2677.07,Partial TP 1:2,198.69,15157.05
1225,2024-09-26 15:00:00,2024-09-26 17:15:00,Short,2677.07,2668.06,0.15,2668.06,Stop Loss,135.1,15292.14
1226,2024-09-26 18:15:00,2024-09-26 19:00:00,Long,2669.69,2664.28,0.21,2660.27,Opposite Signal,-113.61,15178.53
1227,2024-09-26 19:00:00,2024-09-26 20:00:00,Short,2664.28,2671.21,0.21,2673.43,Opposite Signal,-145.53,15033.0
1228,2024-09-26 20:00:00,2024-09-26 23:00:00,Long,2671.21,2671.18,0.25,2663.31,Opposite Signal,-0.75,15032.25
1229,2024-09-26 23:00:00,2024-09-27 04:15:00,Short,2671.18,2671.67,0.39,2676.27,Opposite Signal,-19.11,15013.14
1230,2024-09-27 04:15:00,2024-09-27 04:30:00,Long,2671.67,2668.77,0.68,2668.77,Stop Loss,-197.17,14815.97
1231,2024-09-27 04:30:00,2024-09-27 06:00:00,Short,2667.84,2670.3,0.57,2671.31,Opposite Signal,-140.22,14675.75
1232,2024-09-27 06:00:00,2024-09-27 07:00:00,Long,2670.3,2671.08,0.59,2666.96,Opposite Signal,46.02,14721.77
1233,2024-09-27 07:00:00,2024-09-27 08:30:00,Short (Partial 50%),2671.08,2664.02,0.28,2671.08,Partial TP 1:2,197.81,14919.59
1233,2024-09-27 07:00:00,2024-09-27 09:00:00,Short,2671.08,2666.86,0.28,2667.26,Opposite Signal,118.16,15037.75
1234,2024-09-27 09:00:00,2024-09-27 09:30:00,Long,2666.86,2664.59,0.55,2663.27,Opposite Signal,-124.85,14912.9
1235,2024-09-27 09:30:00,2024-09-27 12:30:00,Short,2664.59,2663.21,0.49,2668.61,Opposite Signal,67.62,14980.52
1236,2024-09-27 12:30:00,2024-09-27 15:00:00,Long,2663.21,2663.39,0.44,2658.71,Opposite Signal,7.92,14988.44
1237,2024-09-27 15:00:00,2024-09-27 15:30:00,Short,2663.39,2667.46,0.49,2667.46,Stop Loss,-199.25,14789.19
1238,2024-09-27 15:30:00,2024-09-27 16:00:00,Long,2671.77,2666.75,0.39,2666.75,Stop Loss,-195.75,14593.44
1239,2024-09-27 16:15:00,2024-09-27 17:45:00,Short (Partial 50%),2666.04,2654.55,0.17,2666.04,Partial TP 1:2,195.25,14788.69
1239,2024-09-27 16:15:00,2024-09-27 18:15:00,Short,2666.04,2653.34,0.17,2653.34,Stop Loss,215.91,15004.6
1240,2024-09-27 18:15:00,2024-09-27 18:30:00,Long,2653.93,2647.47,0.24,2645.85,Opposite Signal,-155.04,14849.56
1241,2024-09-27 18:30:00,2024-09-27 19:30:00,Short,2647.47,2655.98,0.23,2655.98,Stop Loss,-195.74,14653.82
1242,2024-09-27 22:15:00,2024-09-30 10:45:00,Long,2649.77,2650.95,0.35,2644.06,Opposite Signal,41.3,14695.12
1243,2024-09-30 10:45:00,2024-09-30 11:15:00,Short,2650.95,2655.37,0.39,2655.97,Opposite Signal,-172.38,14522.74
1244,2024-09-30 11:15:00,2024-09-30 12:00:00,Long,2655.37,2650.29,0.39,2650.29,Stop Loss,-198.15,14324.59
1245,2024-09-30 12:00:00,2024-09-30 13:30:00,Short (Partial 50%),2649.14,2639.12,0.19,2649.14,Partial TP 1:2,190.46,14515.05
1245,2024-09-30 12:00:00,2024-09-30 14:30:00,Short,2649.14,2640.65,0.2,2640.65,Stop Loss,169.85,14684.9
1246,2024-09-30 14:30:00,2024-09-30 15:15:00,Long,2641.46,2637.73,0.36,2635.92,Opposite Signal,-134.28,14550.62
1247,2024-09-30 15:15:00,2024-09-30 16:15:00,Short,2637.73,2640.81,0.34,2643.56,Opposite Signal,-104.72,14445.9
1248,2024-09-30 16:15:00,2024-09-30 16:30:00,Long,2640.81,2634.85,0.33,2634.85,Stop Loss,-196.59,14249.31
1249,2024-09-30 16:30:00,2024-09-30 19:00:00,Short,2631.9,2635.8,0.29,2638.66,Opposite Signal,-113.1,14136.21
1250,2024-09-30 19:00:00,2024-09-30 21:00:00,Long,2635.8,2629.89,0.33,2629.89,Stop Loss,-195.16,13941.05
1251,2024-09-30 21:00:00,2024-09-30 21:30:00,Short,2629.12,2631.05,0.34,2635.0,Opposite Signal,-65.62,13875.43
1252,2024-09-30 21:30:00,2024-10-01 05:15:00,Long,2631.05,2637.29,0.32,2624.82,Opposite Signal,199.68,14075.11
1253,2024-10-01 05:15:00,2024-10-01 06:45:00,Short,2637.29,2637.99,0.7,2640.14,Opposite Signal,-49.0,14026.11
1254,2024-10-01 06:45:00,2024-10-01 08:45:00,Long (Partial 50%),2637.99,2644.01,0.33,2637.99,Partial TP 1:2,198.63,14224.74
1254,2024-10-01 06:45:00,2024-10-01 10:00:00,Long,2637.99,2643.43,0.33,2643.43,Stop Loss,179.64,14404.38
1255,2024-10-01 10:00:00,2024-10-01 10:45:00,Short,2643.21,2646.22,0.66,2646.22,Stop Loss,-198.58,14205.8
1256,2024-10-01 10:45:00,2024-10-01 14:15:00,Long,2645.6,2648.07,0.59,2642.25,Opposite Signal,145.73,14351.53
1257,2024-10-01 14:15:00,2024-10-01 14:45:00,Short,2648.07,2651.47,0.58,2651.47,Stop Loss,-197.18,14154.35
1258,2024-10-01 15:00:00,2024-10-01 15:45:00,Long,2654.32,2651.52,0.49,2650.3,Opposite Signal,-137.2,14017.15
1259,2024-10-01 15:45:00,2024-10-01 16:15:00,Short,2651.52,2653.9,0.46,2655.86,Opposite Signal,-109.48,13907.67
1260,2024-10-01 16:15:00,2024-10-01 16:30:00,Long (Partial 50%),2653.9,2663.39,0.21,2653.9,Partial TP 1:2,199.25,14106.92
1260,2024-10-01 16:15:00,2024-10-01 17:00:00,Long,2653.9,2662.84,0.21,2662.84,Stop Loss,187.8,14294.72
1261,2024-10-01 17:45:00,2024-10-01 18:15:00,Short,2659.19,2664.99,0.23,2667.67,Opposite Signal,-133.4,14161.32
1262,2024-10-01 18:15:00,2024-10-01 20:30:00,Long,2664.99,2665.23,0.23,2656.36,Opposite Signal,5.52,14166.84
1263,2024-10-01 20:30:00,2024-10-01 23:45:00,Short,2665.23,2663.63,0.22,2674.26,Opposite Signal,35.2,14202.04
1264,2024-10-01 23:45:00,2024-10-02 03:00:00,Long,2663.63,2658.17,0.36,2658.17,Stop Loss,-196.56,14005.49
1265,2024-10-02 03:00:00,2024-10-02 04:30:00,Short,2658.1,2659.67,0.59,2661.48,Opposite Signal,-92.63,13912.86
1266,2024-10-02 04:30:00,2024-10-02 06:30:00,Long,2659.67,2656.48,0.62,2656.48,Stop Loss,-197.98,13714.88
1267,2024-10-02 06:30:00,2024-10-02 08:15:00,Short (Partial 50%),2656.4,2649.92,0.3,2656.4,Partial TP 1:2,194.49,13909.36
1267,2024-10-02 06:30:00,2024-10-02 09:30:00,Short,2656.4,2649.78,0.31,2649.78,Stop Loss,205.12,14114.49
1268,2024-10-02 10:00:00,2024-10-02 11:00:00,Long,2653.06,2648.82,0.45,2648.63,Opposite Signal,-190.8,13923.69
1269,2024-10-02 11:00:00,2024-10-02 11:30:00,Short,2648.82,2653.56,0.42,2653.56,Stop Loss,-199.12,13724.57
1270,2024-10-02 11:30:00,2024-10-02 13:30:00,Long,2652.61,2651.48,0.41,2647.83,Opposite Signal,-46.33,13678.24
1271,2024-10-02 13:30:00,2024-10-02 15:30:00,Short,2651.48,2649.5,0.46,2655.79,Opposite Signal,91.08,13769.32
1272,2024-10-02 15:30:00,2024-10-02 16:45:00,Long (Partial 50%),2649.5,2660.34,0.18,2649.5,Partial TP 1:2,195.04,13964.35
1272,2024-10-02 15:30:00,2024-10-02 17:15:00,Long,2649.5,2655.42,0.18,2655.42,Stop Loss,106.51,14070.87
