Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL,Exit Reason,PnL ($),Equity ($)
136,2026-01-27 14:40:00,2026-01-27 14:55:00,Long,5089.44,5081.4,0.24,5081.4,Stop Loss,-192.91,96162.23
137,2026-01-27 15:40:00,2026-01-27 17:35:00,Short,5073.33,5083.67,0.19,5083.67,Stop Loss,-196.37,95965.86
138,2026-01-27 17:35:00,2026-01-28 11:10:00,Long,5083.06,5281.85,0.11,5065.96,Opposite Signal,2186.69,98152.55
139,2026-01-28 11:10:00,2026-01-28 14:35:00,Short,5281.85,5270.07,0.16,5294.26,Opposite Signal,188.48,98341.03
140,2026-01-28 14:35:00,2026-01-28 15:35:00,Long,5270.07,5264.08,0.17,5258.9,Opposite Signal,-101.83,98239.2
141,2026-01-28 15:35:00,2026-01-28 16:35:00,Short,5264.08,5276.98,0.15,5276.98,Stop Loss,-193.53,98045.67
142,2026-01-28 16:55:00,2026-01-28 17:05:00,Long,5285.98,5270.33,0.12,5270.33,Stop Loss,-187.81,97857.86
143,2026-01-28 17:05:00,2026-01-28 17:15:00,Short,5241.99,5263.39,0.09,5263.39,Stop Loss,-192.57,97665.29
144,2026-01-28 18:15:00,2026-01-28 20:30:00,Long,5287.43,5287.69,0.11,5269.51,Opposite Signal,2.86,97668.15
145,2026-01-28 20:30:00,2026-01-28 21:40:00,Short,5287.69,5306.75,0.1,5306.75,Stop Loss,-190.56,97477.59
146,2026-01-28 21:45:00,2026-01-29 01:45:00,Long,5315.97,5496.16,0.09,5295.38,Opposite Signal,1621.71,99099.3
147,2026-01-29 01:45:00,2026-01-29 03:40:00,Short,5496.16,5536.18,0.04,5536.18,Stop Loss,-160.07,98939.23
148,2026-01-29 03:40:00,2026-01-29 07:20:00,Long,5540.2,5521.16,0.05,5502.23,Opposite Signal,-95.2,98844.03
149,2026-01-29 07:20:00,2026-01-29 07:25:00,Short,5521.16,5540.7,0.1,5540.7,Stop Loss,-195.41,98648.63
150,2026-01-29 07:55:00,2026-01-29 09:25:00,Long,5562.45,5543.39,0.1,5543.39,Stop Loss,-190.58,98458.05
151,2026-01-29 09:25:00,2026-01-29 13:25:00,Short,5541.41,5515.81,0.1,5560.84,Opposite Signal,256.0,98714.05
152,2026-01-29 13:25:00,2026-01-29 15:30:00,Long,5515.81,5509.96,0.12,5499.2,Opposite Signal,-70.2,98643.85
153,2026-01-29 15:30:00,2026-01-29 15:40:00,Short,5509.96,5525.99,0.12,5525.99,Stop Loss,-192.37,98451.47
154,2026-01-29 16:25:00,2026-01-29 16:30:00,Long,5543.64,5523.57,0.09,5523.57,Stop Loss,-180.6,98270.88
155,2026-01-29 16:55:00,2026-01-29 19:15:00,Short,5496.81,5337.13,0.07,5523.63,Opposite Signal,1117.76,99388.64
156,2026-01-29 19:15:00,2026-01-30 03:00:00,Long,5337.13,5389.06,0.03,5276.05,Opposite Signal,155.79,99544.43
157,2026-01-30 03:00:00,2026-01-30 12:45:00,Short,5389.06,5084.87,0.06,5418.39,Opposite Signal,1825.14,101369.57
158,2026-01-30 12:45:00,2026-01-30 15:20:00,Long,5084.87,5038.01,0.04,5038.01,Stop Loss,-187.45,101182.12
159,2026-01-30 15:20:00,2026-01-30 16:05:00,Short,5025.51,5067.51,0.04,5067.51,Stop Loss,-168.01,101014.11
160,2026-01-30 16:30:00,2026-01-30 16:50:00,Long,5108.13,5064.53,0.04,5064.53,Stop Loss,-174.39,100839.72
161,2026-01-30 17:00:00,2026-01-30 17:10:00,Short,4985.91,5034.65,0.04,5034.65,Stop Loss,-194.94,100644.78
162,2026-01-30 20:50:00,2026-02-02 01:00:00,Long,4860.68,4784.33,0.02,4784.33,Stop Loss,-152.7,100492.08
163,2026-02-02 01:05:00,2026-02-02 02:10:00,Short,4814.67,4844.68,0.04,4862.96,Opposite Signal,-120.04,100372.04
164,2026-02-02 02:10:00,2026-02-02 02:45:00,Long,4844.68,4789.96,0.03,4789.96,Stop Loss,-164.15,100207.88
165,2026-02-02 03:00:00,2026-02-02 09:00:00,Short,4755.99,4534.17,0.03,4809.37,Opposite Signal,665.46,100873.34
166,2026-02-02 09:00:00,2026-02-02 15:20:00,Long,4534.17,4738.36,0.03,4470.18,Opposite Signal,612.57,101485.91
167,2026-02-02 15:20:00,2026-02-02 16:35:00,Short,4738.36,4779.37,0.04,4779.37,Stop Loss,-164.03,101321.88
168,2026-02-02 16:35:00,2026-02-02 16:45:00,Long,4780.62,4734.59,0.04,4734.59,Stop Loss,-184.11,101137.77
169,2026-02-02 17:25:00,2026-02-02 21:45:00,Short,4680.95,4705.48,0.04,4730.17,Opposite Signal,-98.12,101039.65
170,2026-02-02 21:45:00,2026-02-02 22:05:00,Long,4705.48,4673.53,0.06,4673.53,Stop Loss,-191.72,100847.93
171,2026-02-03 04:15:00,2026-02-03 06:00:00,Short,4780.52,4815.2,0.05,4815.2,Stop Loss,-173.39,100674.53
172,2026-02-03 07:25:00,2026-02-03 07:40:00,Long,4839.29,4817.75,0.09,4817.75,Stop Loss,-193.84,100480.69
173,2026-02-03 11:25:00,2026-02-03 11:35:00,Short,4891.07,4911.07,0.09,4911.07,Stop Loss,-180.04,100300.64
174,2026-02-03 13:55:00,2026-02-03 14:20:00,Long,4916.88,4899.83,0.11,4899.83,Stop Loss,-187.51,100113.14
175,2026-02-03 16:20:00,2026-02-03 17:05:00,Short,4910.5,4931.42,0.09,4931.42,Stop Loss,-188.3,99924.84
176,2026-02-03 18:15:00,2026-02-03 19:05:00,Long,4967.47,4944.87,0.08,4944.87,Stop Loss,-180.79,99744.05
177,2026-02-03 19:05:00,2026-02-03 19:15:00,Short,4941.85,4965.03,0.08,4965.03,Stop Loss,-185.45,99558.59
178,2026-02-03 21:35:00,2026-02-03 22:00:00,Long,4938.97,4911.84,0.07,4911.84,Stop Loss,-189.9,99368.69
179,2026-02-04 08:05:00,2026-02-04 08:45:00,Short,5064.3,5077.84,0.14,5077.84,Stop Loss,-189.59,99179.1
180,2026-02-04 09:25:00,2026-02-04 09:30:00,Long,5089.48,5075.57,0.14,5075.57,Stop Loss,-194.73,98984.37
181,2026-02-04 11:25:00,2026-02-04 14:30:00,Short,5056.91,5062.66,0.13,5071.36,Opposite Signal,-74.75,98909.62
182,2026-02-04 14:30:00,2026-02-04 14:50:00,Long,5062.66,5048.5,0.14,5048.5,Stop Loss,-198.19,98711.43
183,2026-02-04 15:05:00,2026-02-04 15:20:00,Short,5029.45,5044.52,0.13,5044.52,Stop Loss,-195.85,98515.59
184,2026-02-04 15:50:00,2026-02-04 16:05:00,Long,5061.57,5043.87,0.11,5043.87,Stop Loss,-194.67,98320.92
185,2026-02-04 16:30:00,2026-02-04 23:10:00,Short,5015.03,4953.38,0.09,5036.05,Opposite Signal,554.85,98875.77
186,2026-02-04 23:10:00,2026-02-05 03:10:00,Long,4953.38,4966.67,0.1,4933.41,Opposite Signal,132.9,99008.67
187,2026-02-05 03:10:00,2026-02-05 07:45:00,Short,4966.67,4894.94,0.09,4986.8,Opposite Signal,645.57,99654.24
188,2026-02-05 07:45:00,2026-02-05 11:00:00,Long,4894.94,4884.14,0.06,4862.45,Opposite Signal,-64.8,99589.44
189,2026-02-05 11:00:00,2026-02-05 14:35:00,Short,4884.14,4861.2,0.08,4906.97,Opposite Signal,183.52,99772.96
190,2026-02-05 14:35:00,2026-02-05 15:00:00,Long,4861.2,4836.74,0.08,4836.74,Stop Loss,-195.71,99577.25
191,2026-02-05 17:40:00,2026-02-05 18:20:00,Short,4812.06,4847.78,0.05,4847.78,Stop Loss,-178.6,99398.66
192,2026-02-05 18:45:00,2026-02-05 20:15:00,Long,4883.77,4853.56,0.06,4853.56,Stop Loss,-181.28,99217.38
193,2026-02-05 21:30:00,2026-02-06 02:30:00,Short,4836.22,4733.86,0.09,4857.78,Opposite Signal,921.24,100138.62
194,2026-02-06 02:30:00,2026-02-06 03:00:00,Long,4733.86,4702.18,0.06,4702.18,Stop Loss,-190.07,99948.55
195,2026-02-06 08:20:00,2026-02-06 10:25:00,Short,4852.81,4873.64,0.09,4873.64,Stop Loss,-187.47,99761.08
196,2026-02-06 10:30:00,2026-02-06 10:35:00,Long,4880.02,4862.21,0.11,4862.21,Stop Loss,-195.86,99565.23
197,2026-02-06 11:10:00,2026-02-06 11:20:00,Short,4841.22,4860.23,0.1,4860.23,Stop Loss,-190.1,99375.13
198,2026-02-06 13:10:00,2026-02-09 03:30:00,Long,4884.37,5002.16,0.12,4868.2,Opposite Signal,1413.48,100788.61
199,2026-02-09 03:30:00,2026-02-09 05:25:00,Short,5002.16,5023.61,0.09,5023.61,Stop Loss,-193.05,100595.56
200,2026-02-09 05:25:00,2026-02-09 06:15:00,Long,5025.35,5008.5,0.11,5008.5,Stop Loss,-185.38,100410.18
201,2026-02-09 09:10:00,2026-02-09 10:15:00,Short,5012.7,5026.89,0.14,5026.89,Stop Loss,-198.66,100211.52
202,2026-02-09 11:00:00,2026-02-09 11:25:00,Long,5032.52,5019.74,0.15,5019.74,Stop Loss,-191.63,100019.89
203,2026-02-09 11:50:00,2026-02-09 14:10:00,Short,5006.57,5016.67,0.16,5018.68,Opposite Signal,-161.6,99858.29
204,2026-02-09 14:10:00,2026-02-09 15:25:00,Long,5016.67,5005.17,0.17,5005.17,Stop Loss,-195.54,99662.75
205,2026-02-09 15:40:00,2026-02-09 16:00:00,Short,4998.77,5012.54,0.14,5012.54,Stop Loss,-192.85,99469.9
206,2026-02-09 16:30:00,2026-02-09 19:55:00,Long,5035.33,5046.36,0.13,5020.76,Opposite Signal,143.39,99613.29
207,2026-02-09 19:55:00,2026-02-09 20:10:00,Short,5046.36,5058.21,0.16,5058.21,Stop Loss,-189.62,99423.66
208,2026-02-09 21:25:00,2026-02-09 23:10:00,Long,5074.37,5065.0,0.21,5065.0,Stop Loss,-196.81,99226.86
209,2026-02-09 23:10:00,2026-02-10 01:00:00,Short,5063.0,5072.22,0.21,5072.22,Stop Loss,-193.58,99033.28
210,2026-02-10 04:20:00,2026-02-10 04:50:00,Long,5054.3,5038.69,0.12,5038.69,Stop Loss,-187.3,98845.98
211,2026-02-10 05:15:00,2026-02-10 07:00:00,Short,5019.87,5034.23,0.13,5034.23,Stop Loss,-186.64,98659.34
212,2026-02-10 08:05:00,2026-02-10 08:30:00,Long,5039.91,5029.87,0.19,5029.87,Stop Loss,-190.84,98468.49
213,2026-02-10 14:40:00,2026-02-10 15:10:00,Short,5029.44,5039.85,0.19,5039.85,Stop Loss,-197.75,98270.75
214,2026-02-10 15:30:00,2026-02-10 16:45:00,Long,5052.82,5039.78,0.15,5039.78,Stop Loss,-195.59,98075.16
215,2026-02-10 16:45:00,2026-02-10 17:20:00,Short,5029.84,5046.56,0.11,5046.56,Stop Loss,-183.97,97891.19
216,2026-02-10 22:15:00,2026-02-10 22:25:00,Long,5033.28,5024.6,0.23,5024.6,Stop Loss,-199.68,97691.51
